gtin14,jan3,jan4,jan13keta,indicator
04946329115123,494,4946,4946329115123,i0
04946329115147,494,4946,4946329115147,i0
04946329115161,494,4946,4946329115161,i0
04946329150063,494,4946,4946329150063,i0
04946329150070,494,4946,4946329150070,i0
04946329150087,494,4946,4946329150087,i0
04946329115024,494,4946,4946329115024,i0
04946329115048,494,4946,4946329115048,i0
04946329115062,494,4946,4946329115062,i0
04946329114997,494,4946,4946329114997,i0
04946329115017,494,4946,4946329115017,i0
04946329139846,494,4946,4946329139846,i0
04946329139853,494,4946,4946329139853,i0
04946329139860,494,4946,4946329139860,i0
04946329139877,494,4946,4946329139877,i0
04946329139891,494,4946,4946329139891,i0
04946306985152,494,4946,4946306985152,i0
04946306985169,494,4946,4946306985169,i0
04946306985176,494,4946,4946306985176,i0
04946306985183,494,4946,4946306985183,i0
04946306985190,494,4946,4946306985190,i0
04946329076462,494,4946,4946329076462,i0
04946329076479,494,4946,4946329076479,i0
04946329076486,494,4946,4946329076486,i0
04946329076493,494,4946,4946329076493,i0
04946329076509,494,4946,4946329076509,i0
04946329076516,494,4946,4946329076516,i0
04946329076523,494,4946,4946329076523,i0
04946329076530,494,4946,4946329076530,i0
04946329076547,494,4946,4946329076547,i0
04946329076875,494,4946,4946329076875,i0
04946329076882,494,4946,4946329076882,i0
04946329077193,494,4946,4946329077193,i0
04946329077209,494,4946,4946329077209,i0
04946329077216,494,4946,4946329077216,i0
04946329009705,494,4946,4946329009705,i0
04946329047028,494,4946,4946329047028,i0
04946306033044,494,4946,4946306033044,i0
04946306043203,494,4946,4946306043203,i0
04946306043210,494,4946,4946306043210,i0
04946306043227,494,4946,4946306043227,i0
04946306043234,494,4946,4946306043234,i0
04946306043241,494,4946,4946306043241,i0
04946306043258,494,4946,4946306043258,i0
04946306043265,494,4946,4946306043265,i0
04946306043272,494,4946,4946306043272,i0
04946306043340,494,4946,4946306043340,i0
04946306043357,494,4946,4946306043357,i0
04946306043364,494,4946,4946306043364,i0
04946306092492,494,4946,4946306092492,i0
04946306092485,494,4946,4946306092485,i0
04946306114316,494,4946,4946306114316,i0
04946306114309,494,4946,4946306114309,i0
04946306119465,494,4946,4946306119465,i0
04946306119472,494,4946,4946306119472,i0
04946306119960,494,4946,4946306119960,i0
04946306119977,494,4946,4946306119977,i0
04946306119458,494,4946,4946306119458,i0
04946329076905,494,4946,4946329076905,i0
04946329139839,494,4946,4946329139839,i0
04946306123776,494,4946,4946306123776,i0
04946279287659,494,4946,4946279287659,i0
04942962410052,494,4942,4942962410052,i0
04942962410076,494,4942,4942962410076,i0
04946452037552,494,4946,4946452037552,i0
04946329076554,494,4946,4946329076554,i0
04946329076561,494,4946,4946329076561,i0
04946329076578,494,4946,4946329076578,i0
04946329076585,494,4946,4946329076585,i0
04946329076592,494,4946,4946329076592,i0
04946329076608,494,4946,4946329076608,i0
04946329076691,494,4946,4946329076691,i0
04946329076707,494,4946,4946329076707,i0
04946329076714,494,4946,4946329076714,i0
04946329076721,494,4946,4946329076721,i0
04946329076738,494,4946,4946329076738,i0
04946329076745,494,4946,4946329076745,i0
04946329076752,494,4946,4946329076752,i0
04946329076776,494,4946,4946329076776,i0
04946306088266,494,4946,4946306088266,i0
04946329058857,494,4946,4946329058857,i0
04946329062069,494,4946,4946329062069,i0
04946329062076,494,4946,4946329062076,i0
04946329062083,494,4946,4946329062083,i0
04946329062090,494,4946,4946329062090,i0
04946329062106,494,4946,4946329062106,i0
04946329062113,494,4946,4946329062113,i0
04946329120714,494,4946,4946329120714,i0
04946329120721,494,4946,4946329120721,i0
04946329168358,494,4946,4946329168358,i0
04946329168365,494,4946,4946329168365,i0
04946329168433,494,4946,4946329168433,i0
04946329168440,494,4946,4946329168440,i0
04942962174534,494,4942,4942962174534,i0
04942962174541,494,4942,4942962174541,i0
04942962174565,494,4942,4942962174565,i0
04942962174572,494,4942,4942962174572,i0
04942962174619,494,4942,4942962174619,i0
04942962174626,494,4942,4942962174626,i0
04942962174664,494,4942,4942962174664,i0
04942962174671,494,4942,4942962174671,i0
04942962174688,494,4942,4942962174688,i0
04942962174695,494,4942,4942962174695,i0
