gtin14,jan3,jan4,jan13keta
54987350095072,498,4987,4987350095077
54987350095096,498,4987,4987350095091
54987350095119,498,4987,4987350095114
54987350095850,498,4987,4987350095855
54987350096352,498,4987,4987350096357
54987350096376,498,4987,4987350096371
54987350096390,498,4987,4987350096395
54987350096413,498,4987,4987350096418
54987350096437,498,4987,4987350096432
54987350096451,498,4987,4987350096456
54987350096475,498,4987,4987350096470
54987350096499,498,4987,4987350096494
54987350096512,498,4987,4987350096517
54987350096536,498,4987,4987350096531
54987350096550,498,4987,4987350096555
54987350096574,498,4987,4987350096579
54987350096598,498,4987,4987350096593
54987350096635,498,4987,4987350096630
54987350096659,498,4987,4987350096654
54987350096673,498,4987,4987350096678
54987350096697,498,4987,4987350096692
54987350096710,498,4987,4987350096715
54987350096734,498,4987,4987350096739
54987350096758,498,4987,4987350096753
54987350096772,498,4987,4987350096777
54987350096871,498,4987,4987350096876
54987350096895,498,4987,4987350096890
54987350096918,498,4987,4987350096913
54987350096932,498,4987,4987350096937
54987350096956,498,4987,4987350096951
54987350096970,498,4987,4987350096975
54987350097151,498,4987,4987350097156
54987350097175,498,4987,4987350097170
54987350097199,498,4987,4987350097194
54987350097212,498,4987,4987350097217
54987350097236,498,4987,4987350097231
54987350097250,498,4987,4987350097255
54987350097274,498,4987,4987350097279
54987350097298,498,4987,4987350097293
54987350097311,498,4987,4987350097316
54987350097397,498,4987,4987350097392
54987350097410,498,4987,4987350097415
54987350097632,498,4987,4987350097637
54987350097656,498,4987,4987350097651
54987350097984,498,4987,4987350097989
54987350098004,498,4987,4987350098009
54987350098028,498,4987,4987350098023
54987350098790,498,4987,4987350098795
54987350098813,498,4987,4987350098818
54987350098837,498,4987,4987350098832
54987350098851,498,4987,4987350098856
54987350098875,498,4987,4987350098870
54987350098899,498,4987,4987350098894
54987350098912,498,4987,4987350098917
54987350098936,498,4987,4987350098931
54987350098950,498,4987,4987350098955
54987350098974,498,4987,4987350098979
54987350098998,498,4987,4987350098993
54987350099056,498,4987,4987350099051
54987350099070,498,4987,4987350099075
54987350099094,498,4987,4987350099099
54987350099377,498,4987,4987350099372
54987350099537,498,4987,4987350099532
54987350099551,498,4987,4987350099556
54987350099575,498,4987,4987350099570
54987350099599,498,4987,4987350099594
54987350099612,498,4987,4987350099617
54987350099711,498,4987,4987350099716
54987350099773,498,4987,4987350099778
54987350099797,498,4987,4987350099792
54987350099810,498,4987,4987350099815
54987350105375,498,4987,4987350105370
54987350105399,498,4987,4987350105394
54987350105412,498,4987,4987350105417
54987350105436,498,4987,4987350105431
54987350105450,498,4987,4987350105455
54987350105474,498,4987,4987350105479
54987350105498,498,4987,4987350105493
54987350105955,498,4987,4987350105950
54987350105993,498,4987,4987350105998
54987350106013,498,4987,4987350106018
54987350106037,498,4987,4987350106032
54987350106310,498,4987,4987350106315
54987350106334,498,4987,4987350106339
54987350106358,498,4987,4987350106353
54987350106372,498,4987,4987350106377
54987350106396,498,4987,4987350106391
54987350106419,498,4987,4987350106414
54987350106433,498,4987,4987350106438
54987350106457,498,4987,4987350106452
54987350106471,498,4987,4987350106476
54987350106495,498,4987,4987350106490
54987350106518,498,4987,4987350106513
54987350106532,498,4987,4987350106537
54987350106556,498,4987,4987350106551
54987350106570,498,4987,4987350106575
54987350106594,498,4987,4987350106599
54987350106617,498,4987,4987350106612
54987350106631,498,4987,4987350106636
