jan13,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
9320000000000,09320000000000,Kanso 2 （CI600用）マグネット,日本コクレア,ー,B0020900201,（構成品）人工内耳用材料　人工内耳用音声信号処理装置　標準型 X 2,-,1
9320000000000,09320000000000,N24システム音声信号処理装置（耳掛け型）,日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N24システム音声信号処理装置のFreedomプロセシングユニット,日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N24システム音声信号処理装置のFreedomプロセシングユニット,日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N24システム音声信号処理装置のFreedomプロセシングユニット,日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N24システム音声信号処理装置のFreedomプロセシングユニット,日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N24システム音声信号処理装置のFreedomプロセシングユニット,日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N24システム音声信号処理装置のFreedomプロセシングユニット,日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N24システム音声信号処理装置(耳掛け型),日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,CP800 シリーズ プロセシングユニット (白),日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,CP800 シリーズ プロセシングユニット (グレー),日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,CP800 シリーズ プロセシングユニット (茶),日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,CP800 シリーズ プロセシングユニット (ベージュ),日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,CP800 シリーズ プロセシングユニット (黒),日本コクレア,732120000,B002090,（算定用）人工内耳用音声信号処理装置（耳掛け型）,"996,670",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N22ヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N24システムヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N24システムヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N24システムヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N24システムヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
9320000000000,09320000000000,N24システムヘッドセット・送信コイル・送信ケーブル,日本コクレア,710010058,B002090,（算定用）人工内耳用耳掛け型ケーブル付き送信コイル,"12,960",1
